location,population,country,d0,c0,d1,c1,d2,c2,d3,c3,d4,c4,d5,c5,days_since_1Jan2020
Panama,4314768.0,Panama,0,100,79,3709.12,158,20275.71,237,33018.0,316,73759.01,395,83629.29,79.0
Papua New Guinea,8947027.0,Papua New Guinea,0,100,51,58.9,103,67.06,155,89.3,207,137.25,259,1088.41,215.0
Paraguay,7132530.0,Paraguay,0,100,75,187.31,151,2798.31,226,10214.75,302,18756.46,378,35073.81,96.0
Peru,32626000.0,Peru,0,100,79,5615.09,158,17656.68,238,28306.47,317,34143.63,397,52032.92,77.0
Philippines,109581085.0,Philippines,0,100,80,173.36,160,1664.2,240,3636.11,320,4741.47,400,8542.83,74.0
Poland,37846605.0,Poland,0,100,80,644.58,160,1592.77,240,15011.6,320,39545.56,400,71024.2,74.0
Portugal,10196707.0,Portugal,0,100,80,3206.92,160,5393.11,240,17586.46,320,65604.61,401,81497.0,73.0
Qatar,2881060.0,Qatar,0,100,80,19181.13,161,40247.69,241,46515.17,322,52040.92,403,68231.83,71.0
Romania,19237682.0,Romania,0,100,80,1014.52,160,3969.03,240,15957.8,320,37505.19,400,53504.58,74.0
Russia,146644718.0,Russia,0,100,79,3004.12,158,6475.04,238,12293.4,317,25589.38,397,31702.77,77.0
Rwanda,12952209.0,Rwanda,0,100,75,49.88,151,325.66,227,425.18,303,1193.54,379,1844.32,95.0
Saint Lucia,183629.0,Saint Lucia,0,100,33,1470.36,66,2385.24,99,13151.52,132,22158.81,165,23966.8,309.0
Saint Vincent and the Grenadines,110947.0,Saint Vincent and the Grenadines,0,100,24,2028.0,49,9545.1,73,14024.71,98,15349.67,123,16395.22,351.0
San Marino,33938.0,San Marino,0,100,79,19800.81,159,20743.71,239,32824.56,319,87483.06,399,148093.58,75.0
Sao Tome and Principe,219161.0,Sao Tome and Principe,0,100,69,3340.01,139,4143.07,208,4512.66,278,6164.42,348,10380.5,126.0
Saudi Arabia,34813867.0,Saudi Arabia,0,100,80,2556.77,160,8766.22,240,10081.73,320,10549.7,400,11632.43,74.0
Senegal,16743930.0,Senegal,0,100,77,284.22,155,799.33,232,940.94,310,1565.52,388,2375.91,86.0
Serbia,8737370.0,Serbia,0,100,79,1343.77,158,3515.25,237,8060.09,316,44905.27,395,75808.62,79.0
Seychelles,98340.0,Seychelles,0,100,56,1382.96,112,1555.83,169,2084.6,225,23672.97,282,50050.84,192.0
Singapore,5850343.0,Singapore,0,100,82,5095.77,165,9468.68,248,9918.91,331,10145.05,414,10397.85,60.0
Slovakia,5459643.0,Slovakia,0,100,79,279.51,158,614.69,237,14126.02,316,44586.61,396,68864.21,78.0
Slovenia,2078932.0,Slovenia,0,100,80,708.54,160,1219.86,240,21723.17,320,77762.04,401,111629.91,73.0
Somalia,15893219.0,Somalia,0,100,73,182.72,146,212.1,219,279.68,292,302.9,366,822.93,108.0
South Africa,59308690.0,South Africa,0,100,79,732.34,158,10281.34,237,12481.37,316,24242.62,396,26417.19,78.0
South Sudan,11193729.0,South Sudan,0,100,69,193.95,138,237.99,207,277.92,276,411.75,345,935.61,129.0
Spain,46937060.0,Spain,0,100,82,5012.88,164,7186.94,247,27364.47,329,55252.33,412,72592.6,62.0
Sri Lanka,21413250.0,Sri Lanka,0,100,78,87.28,156,139.45,234,756.12,312,2955.79,390,4520.38,84.0
Sudan,43849269.0,Sudan,0,100,72,218.32,144,308.6,217,379.69,289,674.52,362,753.08,112.0
Suriname,586634.0,Suriname,0,100,63,3930.9,126,8582.86,189,9102.78,252,14990.61,316,16332.16,158.0
Sweden,10327589.0,Sweden,0,100,81,3448.72,163,7889.93,244,13726.73,326,53864.36,408,87158.58,66.0
Switzerland,8654618.0,Switzerland,0,100,81,3552.55,163,4381.94,245,23398.38,327,59561.61,409,73070.7,65.0
Syria,17500657.0,Syria,0,100,65,40.97,131,247.36,196,485.12,262,841.34,328,1208.07,146.0
Tajikistan,9537642.0,Tajikistan,0,100,70,686.96,140,979.91,210,1274.42,280,1395.31,350,1395.31,124.0
Thailand,69799978.0,Thailand,0,100,79,44.17,159,48.57,239,55.07,319,232.39,399,606.76,75.0
Togo,8278737.0,Togo,0,100,70,83.95,141,195.44,212,353.44,283,656.62,354,1513.88,120.0
Trinidad and Tobago,1399491.0,Trinidad and Tobago,0,100,75,87.89,151,1371.93,227,4383.74,303,5406.25,379,6388.04,95.0
Tunisia,11818618.0,Tunisia,0,100,78,91.97,156,281.17,234,6571.67,312,17554.34,390,24155.95,84.0
Turkey,84339067.0,Turkey,0,100,79,2006.4,158,3079.14,237,4767.1,316,29215.76,395,50610.56,79.0
Uganda,45741000.0,Uganda,0,100,69,22.74,138,141.4,208,447.28,277,871.17,347,904.62,127.0
Ukraine,45901049.0,Ukraine,0,100,77,632.12,155,2498.05,233,11498.82,311,27408.81,389,43562.56,85.0
United Arab Emirates,9890400.0,United Arab Emirates,0,100,79,3805.91,158,6774.95,237,14598.5,316,29629.94,396,50266.32,78.0
United Kingdom,66970354.0,United Kingdom,0,100,82,3668.52,164,4729.39,247,16459.63,329,54951.25,412,65746.4,62.0
Uruguay,3473727.0,Uruguay,0,100,78,243.25,157,441.31,236,1065.14,315,11667.3,394,47425.72,80.0
Uzbekistan,33469199.0,Uzbekistan,0,100,77,148.38,154,1227.01,231,2091.09,308,2351.74,386,2589.84,88.0
Venezuela,28435943.0,Venezuela,0,100,77,98.96,155,1543.08,232,3391.52,310,4442.37,388,6442.2,86.0
West Bank and Gaza,5101416.0,West Bank and Gaza,0,100,77,96.44,154,4352.52,231,12355.59,308,31160.37,385,55031.98,89.0
Zambia,18383956.0,Zambia,0,100,70,103.08,141,762.73,211,955.67,282,3341.34,353,4945.51,121.0
Zimbabwe,14862927.0,Zimbabwe,0,100,65,213.22,130,530.72,195,734.18,260,2345.7,326,2539.94,148.0
US.Alabama,4903185.0,US,0,100,78,4151.38,157,23667.27,236,42551.32,315,92915.52,394,106543.2,80.0
US.Alaska,721787.0,US,0,100,77,1029.39,154,8498.35,231,33009.74,308,75299.22,385,91330.27,89.0
US.Arizona,7278717.0,US,0,100,78,3707.93,157,27377.49,235,36429.91,314,102801.08,393,117295.53,81.0
US.Arkansas,3017804.0,US,0,100,78,3015.77,157,18852.78,236,41817.49,315,96945.66,394,110494.92,80.0
US.California,39512223.0,US,0,100,81,2726.32,162,16247.91,243,24664.14,324,82285.73,405,94102.78,69.0
US.Colorado,5758736.0,US,0,100,80,4651.72,160,9417.0,240,23362.24,320,68024.82,400,85138.3,74.0
US.Connecticut,3565287.0,US,0,100,79,12290.17,158,14588.17,237,23768.35,316,70127.03,395,92296.08,79.0
US.Delaware,973764.0,US,0,100,78,10326.94,156,17433.38,234,28770.83,312,79640.45,390,103883.49,84.0
US.District of Columbia,705749.0,US,0,100,78,13303.6,156,19389.33,235,26223.2,313,51596.25,392,66116.99,82.0
US.Florida,21477737.0,US,0,100,79,2674.72,159,27623.3,239,39474.41,319,78574.11,399,100983.68,75.0
US.Georgia,10617423.0,US,0,100,79,4605.07,159,23755.48,238,38364.58,318,84102.99,398,102121.96,76.0
US.Hawaii,1415786.0,US,0,100,77,498.66,154,5530.5,232,11837.24,309,18749.3,387,23137.68,87.0
US.Idaho,1787065.0,US,0,100,77,1824.22,155,17557.28,232,44653.1,310,91033.62,388,103392.43,86.0
US.Illinois,12671821.0,US,0,100,79,9845.39,158,17337.76,238,40340.14,317,88098.78,397,102758.24,77.0
US.Indiana,6732219.0,US,0,100,78,5554.93,157,13134.01,235,33328.39,314,92484.37,393,105175.87,81.0
US.Iowa,3155070.0,US,0,100,78,7048.02,156,18638.89,234,54960.43,312,100891.26,391,114119.18,83.0
US.Kansas,2913314.0,US,0,100,78,3689.96,156,13844.71,234,40288.83,312,95065.62,390,105517.98,84.0
US.Kentucky,4467673.0,US,0,100,78,2568.68,156,9975.66,235,29026.3,313,80236.18,392,97883.62,82.0
US.Louisiana,4648794.0,US,0,100,79,8848.1,159,30485.33,238,41596.16,318,84948.7,398,97219.84,76.0
US.Maine,1344212.0,US,0,100,78,1938.68,156,3265.11,234,6245.29,312,28874.17,391,42616.05,83.0
US.Maryland,6045680.0,US,0,100,79,9507.95,158,17313.02,237,26204.33,316,57996.62,395,72122.24,79.0
US.Massachusetts,6892503.0,US,0,100,80,14044.97,161,16968.87,242,24602.96,323,73921.33,404,97592.56,70.0
US.Michigan,9986857.0,US,0,100,79,6490.63,158,10694.86,237,24557.48,316,60728.62,396,87484.98,78.0
US.Minnesota,5639632.0,US,0,100,78,4876.38,157,12465.0,236,34500.48,315,81520.74,394,98655.55,80.0
US.Mississippi,2976149.0,US,0,100,78,5802.8,157,26613.59,235,43476.99,314,91615.71,393,103887.94,81.0
US.Missouri,6627888.55446535,US,0,100,78,2269.05,157,11752.01,236,35383.67,315,79965.44,394,88103.62,80.0
US.Montana,1068778.0,US,0,100,77,536.13,154,6608.48,232,42933.14,309,87728.23,387,100250.01,87.0
US.Nebraska,1934408.0,US,0,100,77,8648.64,154,17600.22,231,50744.72,308,98589.85,385,111906.59,89.0
US.Nevada,3080156.0,US,0,100,78,3081.34,157,21430.73,236,36819.89,315,89696.43,394,100720.55,80.0
US.New Hampshire,1359711.0,US,0,100,78,3735.35,156,5262.88,234,9865.33,312,47902.83,391,67356.96,83.0
US.New Jersey,8882190.0,US,0,100,79,18288.85,159,21673.71,238,30844.65,318,76702.14,398,110204.02,76.0
US.New Mexico,2096829.0,US,0,100,78,4411.42,156,11884.61,234,29571.32,312,82762.59,390,92934.62,84.0
US.New York,19453561.0,US,0,100,81,18990.76,162,22020.9,243,27055.1,324,69843.61,406,102753.01,68.0
US.North Carolina,10488084.0,US,0,100,79,3315.29,158,15265.51,237,28359.99,316,70508.59,396,89977.64,78.0
US.North Dakota,762062.0,US,0,100,76,4041.67,153,15355.71,230,83714.97,307,128111.62,384,138773.49,90.0
US.Ohio,11689100.0,US,0,100,79,3260.39,158,9893.92,237,22872.25,316,76018.68,395,90098.9,79.0
US.Oklahoma,3956971.0,US,0,100,78,1891.09,156,14038.52,234,37240.1,312,97879.67,390,112425.14,84.0
US.Oregon,4217737.0,US,0,100,78,1083.52,157,5964.1,236,12511.45,315,33603.09,394,41520.13,80.0
US.Pennsylvania,12801989.0,US,0,100,79,6118.97,158,10401.51,238,19063.13,317,64726.82,397,86523.51,77.0
US.Rhode Island,1059361.0,US,0,100,78,14811.76,156,20251.83,234,38479.8,312,108025.5,391,136071.65,83.0
US.South Carolina,5148714.0,US,0,100,78,2629.39,157,21860.02,236,36707.22,315,84610.06,394,110567.22,80.0
US.South Dakota,885144.840672203,US,0,100,76,6663.32,153,15050.64,230,73864.75,307,122296.37,384,136764.06,90.0
US.Tennessee,6829174.0,US,0,100,79,3757.99,158,21076.78,237,42428.12,316,105076.1,396,121608.26,78.0
US.Texas,29031031.432831,US,0,100,79,2438.84,158,20464.93,238,36473.87,317,80268.32,397,98190.62,77.0
US.Utah,3205958.0,US,0,100,78,3763.62,157,15523.29,235,43581.36,314,107288.37,393,122508.47,81.0
US.Vermont,623989.0,US,0,100,77,1754.84,155,2541.71,233,4395.91,311,18960.27,389,35282.67,85.0
US.Virginia,8535519.0,US,0,100,79,5787.23,158,13311.79,237,23022.15,316,58334.12,395,75699.32,79.0
US.Washington,7614893.0,US,0,100,81,2679.75,162,8910.7,244,15597.2,325,39853.74,407,50630.91,67.0
US.West Virginia,1792147.0,US,0,100,77,1277.8,154,5640.72,231,18781.38,308,67517.34,385,83077.45,89.0
US.Wisconsin,5822434.0,US,0,100,79,3477.76,158,12101.81,237,50462.06,316,100916.56,396,111902.51,78.0
US.Wyoming,578759.0,US,0,100,76,1864.33,153,6652.16,229,38865.92,306,89695.37,383,98947.92,91.0
